shortlist_rank,growth_rank,cluster_id,grow_cell_count,estimated_population_2025,max_opportunity_score,mean_opportunity_score,centroid_latitude,centroid_longitude,market_anchor_name,market_anchor_address,best_h3_cell,h3_cell,recommendation_explanation,population_data_scope,competitor_data_scope,catchment_data_scope,recommendation,cluster_priority_score,priority_tier,decision_limitations,candidate_latitude,candidate_longitude,estimated_population_2025_cell,coverage_gap_pct,nearest_branch_name,nearest_branch_distance_km,observed_competitors_within_3km,observed_direct_competitors_within_3km,opportunity_score,confidence_score,confidence_level,cell_recommendation,cell_market_anchor_name,cell_market_anchor_address,candidate_label,sanity_flags,sanity_status,sanity_penalty,sanity_adjusted_score,candidate_type,required_next_checks,minimum_distance_to_other_shortlist_km
1,1,GROW-022,395,2951089.92,92.48,79.15,25.208354,55.386252,DoubleTree by Hilton Dubai M Square Hotel & Residences,Sheikh Khalifa Bin Zayed St - Mankhool - Dubai,8743acd99ffffff,8743acd99ffffff,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,88.48,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.268386265037847,55.29789647608391,21169.76,100.0,City Walk,8.14,2,0,92.48,70,MEDIUM,GROW,DoubleTree by Hilton Dubai M Square Hotel & Residences,Sheikh Khalifa Bin Zayed St - Mankhool - Dubai,Search area near DoubleTree by Hilton Dubai M Square Hotel & Residences,BROAD_CLUSTER_REQUIRES_SUBMARKET_SPLIT;NO_DIRECT_COMPETITOR_OBSERVATIONS,SHORTLIST_AFTER_SPLIT,4,84.48,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",13.89
2,2,GROW-005,10,32637.84,86.87,77.54,24.532656,54.414883,BE RELAX SPA - L.L.C,250 Al Meena St - Al Zahiyah - E14 - Abu Dhabi,8743a0353ffffff,8743a0353ffffff,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,84.07,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.5283275233625,54.37444944565229,7916.46,92.9,Delma,6.794,1,0,86.87,70,MEDIUM,GROW,BE RELAX SPA - L.L.C,250 Al Meena St - Al Zahiyah - E14 - Abu Dhabi,Search area near BE RELAX SPA - L.L.C,NO_DIRECT_COMPETITOR_OBSERVATIONS,SHORTLIST,0,84.07,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",18.27
3,7,GROW-006,4,12708.2,83.88,79.2,24.442521,54.512338,Massage Relax Olivia Lounge,CGCH+J94 - Khalifa City - SW17 - Abu Dhabi,8743a02ecffffff,8743a02ecffffff,"Strongest signals: coverage gap and market activity; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,82.48,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.44799137787295,54.531889838722975,2394.45,100.0,Al Maqta,5.535,1,0,83.88,70,MEDIUM,GROW,Massage Relax Olivia Lounge,CGCH+J94 - Khalifa City - SW17 - Abu Dhabi,Search area near Massage Relax Olivia Lounge,NO_DIRECT_COMPETITOR_OBSERVATIONS,SHORTLIST,0,82.48,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",18.27
4,12,GROW-035,28,112130.41,83.46,76.26,24.374512,54.725866,OMBRÉ SALON صالون أومبري,9PVH+FP5 - Al Shamkhah - SH7 - Abu Dhabi,8743a3968ffffff,8743a3968ffffff,"Strongest signals: coverage gap and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,81.3,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.378899062622512,54.70720463792458,13106.07,100.0,Al Falah,7.84,3,3,83.46,70,MEDIUM,GROW,OMBRÉ SALON صالون أومبري,9PVH+FP5 - Al Shamkhah - SH7 - Abu Dhabi,Search area near OMBRÉ SALON صالون أومبري,NONE,SHORTLIST,0,81.3,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",19.34
5,3,GROW-116,108,334488.45,86.51,76.69,25.767257,55.972257,purple crystal massage,Ras Al-Khaimah - Al Nakheel - Ras Al Khaimah,8743acae0ffffff,8743acae0ffffff,"Strongest signals: coverage gap and market activity; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,83.56,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.81995654012829,55.96786850194727,4139.91,100.0,Ras Al Khaimah,8.998,1,0,86.51,70,MEDIUM,GROW,purple crystal massage,Ras Al-Khaimah - Al Nakheel - Ras Al Khaimah,Search area near purple crystal massage,BROAD_CLUSTER_REQUIRES_SUBMARKET_SPLIT;NO_DIRECT_COMPETITOR_OBSERVATIONS,SHORTLIST_AFTER_SPLIT,4,79.56,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",37.7
6,50,GROW-034,2,18818.78,78.06,75.55,25.166809,55.207829,Yinyang Connection Spa,Shop No 8 & 9 Al Ferdous 4 - Al Wasl Rd - Al Safa First - Dubai,8743a1362ffffff,8743a1362ffffff,"Strongest signals: market activity and population; main constraint: competition headroom. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,77.31,MEDIUM,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.16996064880569,55.212869798117005,13679.38,80.72,City Walk,6.242,35,29,78.06,70,MEDIUM,GROW,Yinyang Connection Spa,Shop No 8 & 9 Al Ferdous 4 - Al Wasl Rd - Al Safa First - Dubai,Search area near Yinyang Connection Spa,NONE,SHORTLIST,0,77.31,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",13.89
7,4,GROW-112,24,177869.13,84.93,78.03,25.04605,56.340164,,,8743a8d0dffffff,8743a8d0dffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,82.86,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.036670979737337,56.349420231374665,27674.37,100.0,Al Taif Mall,9.606,0,0,84.93,70,MEDIUM,GROW,,,"Search area near 25.0367, 56.3494",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,74.86,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",34.45
8,5,GROW-111,35,194173.55,84.83,78.2,25.327955,56.348834,,,8743a8923ffffff,8743a8923ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,82.84,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.3980176524145,56.35155168467461,25302.94,100.0,Al Taif Mall,30.997,0,0,84.83,70,MEDIUM,GROW,,,"Search area near 25.3980, 56.3516",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,74.84,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",26.04
9,6,GROW-153,20,114041.32,83.69,79.67,24.821377,56.085995,,,8743aeae6ffffff,8743aeae6ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,82.48,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",24.80711459829465,56.12002876463003,14188.11,100.0,Al Taif Mall,40.507,0,0,83.69,70,MEDIUM,GROW,,,"Search area near 24.8071, 56.1200",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,74.48,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",34.45
10,8,GROW-122,12,61302.8,83.7,78.4,25.602038,56.274887,,,8743ac272ffffff,8743ac272ffffff,"Strongest signals: coverage gap and population; main constraint: market activity. Internal income, rent, footfall and customer-origin data are unavailable.",WorldPop Global2 R2025A v1; UAE constrained population count; 2025; approximately 100m; people per pixel,Observed Google Places competitors from the defined adaptive search; not an exhaustive UAE business census,Modelled 10-minute destination drive-time catchments using OpenRouteService and OpenStreetMap roads; not live traffic or observed customer origins,GROW,82.11,HIGH,"Population and accessibility opportunity signal only. Validate income, rent, footfall, suitable real estate and full competitor inventory before investment.",25.621137951746245,56.27273151918336,14584.91,100.0,Ras Al Khaimah,38.217,0,0,83.7,70,MEDIUM,GROW,,,"Search area near 25.6211, 56.2727",NO_LOCAL_COMPETITOR_OBSERVATIONS;NO_NAMED_MARKET_ANCHOR,REVIEW_DATA_GAP,8,74.11,H3 SEARCH AREA — NOT A FINAL STORE SITE,"Verify suitable retail unit, rent, footfall, income/spend, female target demand, full competitor inventory, live travel times and cannibalization before investment.",26.04
